episode,run0,run1,run2,run3,run4
184,-98.00410339368648,-84.78744668502752,-87.74015099221089,-84.71491597541254,-74.62194070668971
185,-91.89156737675414,-74.93330013769345,-83.57708536602955,-79.83620411950456,-88.79228979714033
186,-86.38742690998639,-80.33320435908159,-83.358904243395,-86.3692732536677,-94.3052667545338
187,-94.22300565939258,-89.33404351415928,-99.88246412607418,-86.33051135792839,-83.96709431669044
188,-78.96650459545687,-95.98004563142179,-96.24037000036583,-85.37266238167497,-91.62652622484019
189,-95.85154214750708,-91.9087502029221,-96.27419435934806,-94.21068993356188,-93.31686118816796
190,-91.47904852058534,-88.27514335962914,-85.73491503185694,-92.95775777894497,-88.99114898921329
191,-89.8344010476995,-83.01841308125933,-90.43565535259276,-86.86255255379936,-84.01213705653616
192,-97.71888696980466,-90.6311841935575,-81.98029159099028,-86.51756376637199,-78.1867760075293
193,-90.14767785901202,-83.08711534303986,-80.05926822516528,-94.79312173725313,-86.08483840162263
194,-97.66493749715256,-85.21188502930458,-83.61479208619474,-80.34664787271176,-86.48089142105715
195,-83.64728023204133,-94.61380501511604,-94.14548590581805,-92.7611572064841,-84.07024639953903
196,-84.01762357222813,-96.04625075660111,-87.6657256994674,-87.33739232275738,-79.79712140506186
197,-88.20269112058726,-81.17572201465272,-86.90081703089918,-89.54364710172658,-91.9748016906429
198,-92.20874340154373,-86.07768610431872,-81.14935802851312,-85.01266563521072,-81.54056135181933
199,-84.48260746945738,-101.71743249033878,-92.50990390747553,-83.9180318365507,-95.6530310317011
200,-92.34296945421173,-93.97040567336282,-82.1855092120069,-90.34831893693834,-93.23529483623436
201,-93.59695200900951,-90.19537745081077,-78.47084529621777,-87.2325610160655,-92.07225486935704
202,-85.79086567327286,-84.7822560156889,-80.31692836884626,-88.68158089581792,-78.10340916322488
203,-96.74336417254408,-81.82194537135949,-84.87449708145955,-82.8881146459983,-93.38967772225604
204,-94.18346374390468,-84.13255722971239,-76.42154514249371,-80.51147064966507,-82.04824588134771
205,-85.71936937169663,-80.36935847878648,-89.96310018509449,-85.881955679246,-90.89785015510998
206,-89.22588458364059,-93.0159793600124,-89.53819322771918,-88.93652708020952,-86.22238485250361
207,-100.31567915726227,-89.58181319427865,-83.60793845898762,-88.5488827102926,-73.63079146771916
208,-93.15156925712536,-88.5322588671438,-82.55022076986519,-82.07771403029358,-85.84120086879155
209,-86.36186769109398,-91.89026163196907,-80.38821142974388,-94.9685484738512,-89.52483979051634
210,-82.67047841379407,-96.21115482096876,-73.26077374172402,-93.81609942112058,-98.79897813774356
211,-94.31797694626592,-91.09772520709961,-93.56434426237801,-90.52395918777027,-76.74362808989794
212,-88.69929709655568,-89.88809970030381,-84.17386793600183,-91.34693185981511,-77.97885535127418
213,-89.51075575622242,-86.69334368005002,-89.96846588091678,-95.4193749598918,-92.1166876158703
214,-92.57390967907128,-89.73523478221352,-93.33243369573182,-79.94387104780395,-79.4491799268023
215,-85.79564142159484,-83.7113830539674,-86.82453038444419,-85.44932438328517,-85.8203539504676
216,-89.75844043610083,-98.979580652402,-85.4976303734269,-79.54252049842033,-85.54820002228084
217,-86.33104884668265,-79.02215319835621,-87.78144242078226,-86.58455577153069,-94.1962259842451
218,-93.69251500278601,-100.24963082815933,-84.87448067942933,-87.21972004666476,-99.74048766183485
219,-84.60354197509272,-80.23341715405033,-92.79488488900061,-83.99831723023999,-89.55374791787429
220,-81.36902725122081,-83.9019219963935,-78.68637778131338,-80.91487861075626,-90.8822341640716
221,-83.84472450129671,-87.00471493553694,-81.49245080452921,-88.61255334444232,-77.90433447493744
222,-93.10398862092079,-79.58251606388589,-79.80745975899539,-79.05461665019793,-93.07223590478121
223,-86.52698725795703,-89.34773692270777,-83.28414148630935,-95.46195904451898,-93.55713440421962
224,-91.22903749757486,-81.30378579046712,-80.85842073132955,-71.56772125787573,-92.02673171985802
225,-83.3772740669152,-83.99720560102351,-94.10874015676202,-84.91196393878265,-92.78452031232321
226,-84.34183339084457,-86.90203000015428,-90.62937707085511,-92.57126165286336,-95.7769600845792
227,-83.66971034772044,-92.45288939511923,-77.7120010133731,-85.41091873615491,-83.91467402269811
228,-85.90583776381824,-87.54533683143879,-90.61905505577667,-73.55237192602418,-90.47604620474193
229,-88.5063664905639,-87.1647474938911,-95.24477849641009,-97.33479139684988,-79.88823322304744
230,-86.5333123029309,-89.3180978660389,-76.6743024828974,-79.0466759047804,-92.78701680859575
231,-94.39973638810598,-81.59596151601612,-86.72450190460923,-98.14903774355064,-89.32653907118717
232,-99.15270551258673,-89.38284388716947,-89.02076690270688,-75.67085394380601,-87.8638972869451
233,-92.59999363781037,-83.56218902418732,-83.66445059293486,-79.46193767097901,-98.21209016403745
234,-104.52241067292718,-84.50868358491249,-94.97167809937812,-92.20575119956534,-89.83933608230292
235,-86.73823866549914,-86.40590907257298,-85.63597964159598,-88.89277548277943,-91.54698548164367
236,-82.5343183946476,-75.75321585277472,-82.95451346637262,-86.32127888938874,-92.65341221566584
237,-92.78320337238776,-89.16616782114122,-87.61580068247285,-91.16929370032975,-86.74394571782081
238,-99.44605530914885,-89.58134583327202,-93.07682498989874,-79.14687477670189,-87.30292677783233
239,-101.74956596957966,-76.41995770448399,-96.05807515592532,-83.905516856301,-94.2227402099984
240,-97.28839995162394,-82.54124387252082,-91.65506413935111,-82.86436898336261,-99.49212204384862
