episode,run0,run1,run2,run3,run4
592,104.0,63.0,12.0,42.0,191.0
593,28.0,296.0,14.0,68.0,77.0
594,198.0,90.0,10.0,86.0,161.0
595,38.0,404.0,44.0,96.0,150.0
596,51.0,43.0,171.0,15.0,67.0
597,42.0,48.0,51.0,77.0,31.0
598,93.0,55.0,43.0,142.0,253.0
599,145.0,79.0,25.0,94.0,80.0
600,71.0,67.0,44.0,340.0,63.0
601,12.0,75.0,8.0,19.0,105.0
602,9.0,105.0,41.0,16.0,60.0
603,10.0,271.0,39.0,261.0,89.0
604,29.0,80.0,9.0,268.0,58.0
605,50.0,108.0,64.0,106.0,188.0
606,53.0,107.0,308.0,43.0,215.0
607,185.0,67.0,187.0,80.0,61.0
608,249.0,128.0,109.0,65.0,86.0
609,647.0,219.0,132.0,179.0,229.0
610,48.0,145.0,167.0,383.0,273.0
611,56.0,121.0,46.0,196.0,237.0
612,13.0,6.0,40.0,13.0,157.0
613,8.0,77.0,9.0,110.0,24.0
614,57.0,135.0,54.0,104.0,48.0
615,4.0,69.0,41.0,88.0,72.0
616,62.0,11.0,56.0,152.0,5.0
617,69.0,28.0,45.0,51.0,138.0
618,22.0,17.0,49.0,37.0,68.0
619,42.0,40.0,6.0,31.0,104.0
620,9.0,24.0,52.0,364.0,7.0
621,108.0,46.0,57.0,54.0,52.0
622,80.0,49.0,65.0,173.0,72.0
623,267.0,5.0,78.0,116.0,108.0
624,33.0,53.0,740.0,272.0,167.0
625,241.0,9.0,218.0,15.0,150.0
626,183.0,359.0,61.0,102.0,122.0
627,16.0,72.0,338.0,19.0,104.0
628,606.0,143.0,115.0,104.0,256.0
629,75.0,292.0,80.0,441.0,169.0
630,149.0,402.0,218.0,61.0,39.0
631,81.0,10.0,413.0,216.0,208.0
632,70.0,351.0,72.0,112.0,138.0
